PID,Name,Title,PublicationType,ContentType,Language,Journal,JournalISSN,JournalEISSN,Status,Volume,Issue,HostPublication,StartPage,EndPage,Year,Edition,Pages,City,Publisher,Series,SeriesISSN,SeriesEISSN,ISBN,Urls,ISRN,DOI,ISI,PMID,ScopusId,NBN,LocalId,ArchiveNumber,Keywords,Categories,ResearchSubjects,Projects,Notes,Abstract,Opponents,Supervisors,Examiners,Patent,ThesisLevel,Credits,Programme,Subject,Uppsok,DefencePlace,DefenceLanguage,DefenceDate,CreatedDate,PublicationDate,LastUpdated
"1294239","Sommarström, Bo (Nordiska museet [877150])","Skidor och spjut","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","224","228","1964","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1319","238ad57c-90d5-4494-8f2f-f0c6cdf26e90","","Skidor;Samer;HIstoria;Museisamlingar","Humaniora och konst (6)","Insamling och samlingsvård;Nordiska museet;Kulturhistoria","","","","","","","","","","","","","","","","2019-03-06","2019-03-06","2019-03-08"
"1232706","Steile, Ove B (Nordiska museet [877150])","Skildringar af seder och skikke i Vang, Valders i Norge omkring år 1860","Kapitel i bok, del av antologi","Övrigt vetenskapligt","nor","","","","","","","Meddelanden : 1891 och 1892","21","33","1894","","","Stockholm","Samfundet för Nordiska Museets främjande","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-204","9473ba2a-1072-4e41-a3ba-4d4cbf88bc16","","Seder;Norge","Etnologi (60503)","Seder och bruk","","","","","","","","","","","","","","","","2018-07-12","2018-07-12","2018-11-28"
"1303163","Rundquist, Angela (Nordiska museet [877150])","Skilsmässa - farligt område? : om störningar i parförhållanden på 1800-talet","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","135","148","1985","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1567","f4058d45-5200-40f8-bb64-95a0269e6409","","Skilsmässa","Etnologi (60503)","Etnologi;Kulturhistoria","","","","","","","","","","","","","","","","2019-04-09","2019-04-09","2019-04-09"
"1244900","Holmlund, Gottfrid (Nordiska museet [877150])","Skjuta björn och böta på björnhuden : En gammal bröllopssed från Njurunda socken i Medelpad.","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Kulturhistorisk tidskrift","113","115","1913","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-724","2ed0f4ef-4c4b-4a19-b282-237381a21e0b","","Bröllop","Etnologi (60503)","Livets och årets högtider","","","","","","","","","","","","","","","","2018-09-03","2018-09-03","2018-11-19"
"1233805","NN, nn (Nordiska museet [877150])","Skogaholms herrgård till Skansen","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Kulturhistorisk tidskrift","1","5","1930","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-328","736ae86f-c772-457b-ae1d-93d75cc302f6","","Herrgårdar","Etnologi (60503)","Hem och bostad;Skansen","","","","","","","","","","","","","","","","2018-07-19","2018-07-19","2018-11-07"
"1233629","Sahlin, Carl (Nordiska museet [877150])","Skogaholms järnbruk","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","239","258","1932","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-289","1accdb7d-0125-40e9-bfb5-a27c4ce9e10a","","Järnbruk","Kulturstudier (60502)","Näringar och arbetsliv","","","","","","","","","","","","","","","","2018-07-18","2018-07-18","2018-11-06"
"1235682","NN, nn (Nordiska museet [877150])","Skogsarbetarkoja från Hälsingland","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Kulturhistorisk tidskrift","35","40","1907","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-545","4149e506-cf5b-4c36-85d8-dc0b505c0302","","Skogsbruk - historia","Etnologi (60503)","Näringar och arbetsliv","","","","","","","","","","","","","","","","2018-07-26","2018-07-26","2018-11-20"
"1296753","Benedy, Lajla (Nordiska museet [877150])","Skolan, hälsan och hygienen","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","33","46","1970","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1408","b5d99bb6-c6fc-4ecb-ad78-65063afff9bf","","Personlig hygien;Skolhygien","Annan humaniora (605)","Kulturhistoria","","","","","","","","","","","","","","","","2019-03-18","2019-03-18","2019-03-18"
"1317774","Wästberg, Per (Nordiska museet [877150])","Skomakarämbetets låda","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Känn dig själv","210","219","1997","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1751","ab1ca53f-01ea-4323-8975-9872725e53a4","","Skråväsen;Lådor;Museisamlingar;Nordiska museet","Annan humaniora (605)","Näringar och arbetsliv;Insamling och samlingsvård;Nordiska museet","","","","","","","","","","","","","","","","2019-05-23","2019-05-23","2019-05-27"
"1301308","Berg, Jonas (Nordiska museet [877150])","Skottar i Sverige","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","115","124","1981","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1505","6c5d1a03-0029-4726-923d-759f31516dd2","","Skottar;Sverige;Historia","Historia (60101)","Historia","","","","","","","","","","","","","","","","2019-04-01","2019-04-01","2019-04-02"
