PID,Name,Title,PublicationType,ContentType,Language,Journal,JournalISSN,JournalEISSN,Status,Volume,Issue,HostPublication,StartPage,EndPage,Year,Edition,Pages,City,Publisher,Series,SeriesISSN,SeriesEISSN,ISBN,Urls,ISRN,DOI,ISI,PMID,ScopusId,NBN,LocalId,ArchiveNumber,Keywords,Categories,ResearchSubjects,Projects,Notes,Abstract,Opponents,Supervisors,Examiners,Patent,ThesisLevel,Credits,Programme,Subject,Uppsok,DefencePlace,DefenceLanguage,DefenceDate,CreatedDate,PublicationDate,LastUpdated
"1365434","Brattmyhr, John","125 år på Skansen : historier för liv","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Skansen 125","10","27","2016","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-2118","2ca8e370-508d-4342-9e89-a20592a1dd4d","","Skansen","Annan humaniora (605)","Skansen","","","","","","","","","","","","","","","","2019-10-24","2019-10-24","2019-10-28"
"1307079","Falck, Per (Nordiska museet [877150])","1700-tal i repris : nya fakta om gamla möbler","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Tack vare våra vänner!","25","44","1993","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1675","ff0b6dc7-5b56-4c2f-b47d-41bc610eff08","","Möbler;1700-talet","Historia (60101)","Hem och bostad;Materiell kultur","","","","","","","","","","","","","","","","2019-04-25","2019-04-25","2019-05-02"
"1323027","Ciszuk, Martin","1700-talets sidentyger : analys och inspiration","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Tyg överallt","180","195","2002","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1833","c54f3edc-9ea3-4b53-a2e5-b091d01b7d21","","Sidenvävning;Sverige","Annan humaniora (605)","Dräkt och textil","","","","","","","","","","","","","","","","2019-06-11","2019-06-11","2019-06-12"
"1304965","Garnert, Jan (Nordiska museet [877150])","90-talsperspektiv på elektrifiering och trefasteknik","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","90tal : visioner och vägval","85","96","1991","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1618","6ae9bb98-bfe1-4c8c-85d6-f6f6ebb53463","","El;Elektrifiering;Trefassystem","Annan humaniora (605)","Historia","","","","","","","","","","","","","","","","2019-04-15","2019-04-15","2019-04-24"
"1333922","Tin, Mikkel B.","Abstraksjonen i et moderne maleri og et tradisjonelt broderi","Kapitel i bok, del av antologi","Övrigt vetenskapligt","nor","","","","","","","Formgivare: folket","119","134","2005","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1873","ce86faa7-44a7-45a4-94fe-e53bf9fb3752","","Textilier;Folkkonst;Måleri;Broderi","Humaniora och konst (6)","Dräkt och textil","","","","","","","","","","","","","","","","2019-07-02","2019-07-02","2019-07-05"
"1292321","Wallin, Sigurd (Nordiska museet [877150])","Adelshovets heraldik","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","61","76","1961","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1224","c76ecfd4-2c84-4671-a76c-26dac88c97ed","","Heraldik;Adel","Humaniora och konst (6)","Kulturhistoria;Historia","","","","","","","","","","","","","","","","2019-02-27","2019-02-27","2019-03-04"
"1235592","Fleetwood, George W (Nordiska museet [877150])","Adelsuniformen","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","13","28","1940","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-529","94910a55-c58e-4881-b297-7a292f41e727","","Uniformer;Adel","Etnologi (60503)","Dräkt och textil","","","","","","","","","","","","","","","","2018-07-26","2018-07-26","2018-11-05"
"1235427","Meyerson, Åke (Nordiska museet [877150])","Adligt nöje : Tornering och ringränning under äldre Vasatid","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","137","148","1939","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-503","1cf5e792-6e34-4aa4-9443-bf71480eb03e","","Torneringar;Adel","Etnologi (60503)","Sociala och kulturella identiteter;Vardagsliv och berättande","","","","","","","","","","","","","","","","2018-07-25","2018-07-25","2018-11-05"
"1313359","Almgren, Li","Adopterad till Sverige","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Alla vi svenskar","82","98","1996","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1712","ca4869df-4f7e-4719-8ccc-6d0097b150dd","","Adoptivbarn","Annan humaniora (605)","Sociala och kulturella identiteter","","","","","","","","","","","","","","","","2019-05-03","2019-05-03","2019-05-03"
"1245616","Keyland, Nils (Nordiska museet [877150])","Afbildningar af notredskap","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Kulturhistorisk tidskrift","223","241","1914","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-755","d28c3eb1-21bb-4fe3-a023-08ae05c89241","","Fiske;Fiskeredskap","Etnologi (60503)","Näringar och arbetsliv","","","","","","","","","","","","","","","","2018-09-05","2018-09-05","2018-11-14"
"1232480","NN, nn (Nordiska museet [877150])","Afbildningar af sigillstampar tillhörande Nordiska museet","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Meddelanden : 1889","43","45","1891","","","Stockholm","Samfundet för Nordiska Museets främjande","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-188","c9354e38-03bc-4aa2-aa3c-f5884fc33be4","","Skråväsen","Etnologi (60503)","Näringar och arbetsliv","","","","","","","","","","","","","","","","2018-07-11","2018-07-11","2018-11-22"
"1256303","Sjöstedt, Yngve","Alarik Behm","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","167","170","1945","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-961","f775b685-9360-4840-88e0-493a4cc5ac4d","","Alarik Behm","Etnologi (60503)","Etnologi","","","","","","","","","","","","","","","","2018-10-16","2018-10-16","2018-10-17"
"1304699","Szabó, Mátyás (Nordiska museet [877150])","Albert Eskeröd : 1904-1987","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Den kultiverade naturen","221","222","1988","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1600","f8fd5541-08cb-4475-9213-418a3077a0b5","","Nordiska museets personal;Albert Eskeröd","Annan humaniora (605)","Nordiska museet","","","","","","","","","","","","","","","","2019-04-12","2019-04-12","2019-04-23"
"1346185","Waldetoft, Dan (Nordiska museet [877150])","Album och ideal : svaren på en frågelista om amatörfotografi","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Amatörfotografernas värld","122","139","2009","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1962","7c4ef419-ff13-4228-a42c-18ee12cfa6f2","","Amatörfotografer;Amatörfotografi;Fotografi;Nordiska museets frågelistor","Annan humaniora (605)","Kulturhistoria;Vardagsliv och berättande","","","","","","","","","","","","","","","","2019-08-27","2019-08-27","2019-08-28"
"1302117","Arnö-Berg, Inga (Nordiska museet [877150])","Alexis Engdahl - en skaffare i Artur Hazelius tjänst","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","43","56","1983","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1522","09dbc40a-c4c3-46a0-b9c4-aaeb5123933c","","Föremålssamlingar;Museisamlingar","Annan humaniora (605)","Museologi;Insamling och samlingsvård;Nordiska museet","","","","","","","","","","","","","","","","2019-04-03","2019-04-03","2019-04-05"
"1295378","Nyström, Bengt","Alf Wallander och Rörstrand - något om svensk jugendkeramik","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","93","108","1967","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1355","dcc822d6-c1d1-4c70-bae2-719e343a276e","","Keramik;Keramiker;Rörstrand;Jugend","Konst (604)","Näringar och arbetsliv;Historia","","","","","","","","","","","","","","","","2019-03-11","2019-03-11","2019-03-14"
"1288741","Tegnér, Torsten","Alice Tegnérs Tegnabo","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","115","132","1955","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1119","f22f2477-c1a4-4e95-8d36-26b19e511d41","","Alice Tegnér;Bostäder;Djursholm","Historia (60101)","Vardagsliv och berättande;Kulturhistoria","","","","","","","","","","","","","","","","2019-02-14","2019-02-14","2019-02-15"
"1364966","Jönsson, Bodil","Alla dessa åldrar : om livets samtidigheter","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Se åldern","198","213","2015","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-2102","fd69ce9c-8c31-4261-906d-0dfc45f6ca59","","Åldrande","Annan humaniora (605)","Kulturhistoria;Sociala och kulturella identiteter","","","","","","","","","","","","","","","","2019-10-23","2019-10-23","2019-10-24"
"1346087","Dahlgren, Anna","""Alla vilja de lära sig den vackra konsten"" : om etableringen av kamera- och bildkulturer i det sena 1800-talet","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Amatörfotografernas värld","46","67","2009","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1958","446b3928-6510-47dc-8dd2-5daed90fdb22","","Amatörfotografer;Amatörfotografi;Fotografi;1800-talet","Annan humaniora (605)","Kulturhistoria;Vardagsliv och berättande","","","","","","","","","","","","","","","","2019-08-27","2019-08-27","2019-08-28"
"1247145","Lithberg, Nils (Nordiska museet [877150])","Allmogeforskningen och etnologien : Installationsföreläsning å Nordiska museet 7/5 1919","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Kulturhistorisk tidskrift","1","15","1919","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-825","6a7f67ca-7420-4dd6-8203-42614dd44755","","Etnologi - forskning","Etnologi (60503)","Etnologi","","","","","","","","","","","","","","","","2018-09-11","2018-09-11","2018-11-14"
"1365438","Kaijser, Lars","Allsång på Skansen : musik på museet","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Skansen 125","28","49","2016","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-2119","6d813790-16ab-466c-8af6-0a641163d82f","","Skansen;Allsång","Annan humaniora (605)","Skansen","","","","","","","","","","","","","","","","2019-10-24","2019-10-24","2019-10-28"
"1058184","Kaijser, Lars [kaijs] (Stockholms universitet [504], Humanistiska fakulteten [535], Institutionen för etnologi, religionshistoria och genusvetenskap [7758])","Allsång på Skansen : Musik på museet","Kapitel i bok, del av antologi","Övrig (populärvetenskap, debatt, mm)","swe","","","","","","","Skansen 125 : Nordiska museet och Skansens årsbok","29","49","2016","","","Stockholm","Nordiska museet","Fataburen","0348-971X","","9789171085849","http://nordmlib.nordiskamuseet.se/dok/publikationer/kaijser_allsang_skansen.pdf","","","","","","urn:nbn:se:su:diva-136993","","","populärmusik;kulturarv","Etnologi (60503);Kulturstudier (60502)","","","","","","","","","","","","","","","","","2016-12-20","2016-12-20","2020-01-30"
"1322687","Tegman, Ulla (Nordiska museet [877150])","Alltid ulltid","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Tyg överallt","30","43","2002","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1821","a6220780-2a2f-49ef-8960-ff0731e29f7c","","Ull","Annan humaniora (605)","Dräkt och textil","","","","","","","","","","","","","","","","2019-06-11","2019-06-11","2019-06-12"
"1250607","Lagerquist, Marshall (Nordiska museet [877150])","Alrotsmöbler i den Clarholmska gåvan","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","181","184","1944","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-940","fdd142f7-1901-4877-b271-ee0d50ac9086","","Möbler;Möbelsnickeri","Etnologi (60503)","Näringar och arbetsliv","","","","","","","","","","","","","","","","2018-09-24","2018-09-24","2018-10-17"
"1346078","Rosengren, Annette (Nordiska museet [877150])","Amatörfotografi : - minnesbilder och ljusmålningar","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Amatörfotografernas värld","20","45","2009","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1957","dd3c7814-e993-41a8-b6f5-344a37bb0079","","Amatörfotografer;Amatörfotografi;Fotografi","Annan humaniora (605)","Vardagsliv och berättande;Kulturhistoria","","","","","","","","","","","","","","","","2019-08-27","2019-08-27","2019-08-28"
"1291387","Bengtsson, Bengt (Nordiska museet [877150])","Amiralgeneralens ""lathund""","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fatabujren : Nordiska museets och Skansens årsbok","58","74","1959","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1178","e52643aa-aba6-4e9e-812b-49dcd7a5af4f","","Museisamlingar;Nordiska museet;Sjöväsen;Pergament","Historia (60101)","Historia;Insamling och samlingsvård","","","","","","","","","","","","","","","","2019-02-25","2019-02-25","2019-02-25"
"1292981","Strömbom, Nils","Anders Bengtsson i Södra Fagerhult","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","161","166","1963","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1268","69fb5444-5ced-44c5-98b4-400eb0011716","","Bonadsmåleri","Konst (604)","Kulturhistoria;Hem och bostad","","","","","","","","","","","","","","","","2019-03-01","2019-03-01","2019-03-04"
"1346446","Waldetoft, Dan (Nordiska museet [877150])","Anders Olsson","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Amatörfotografernas värld","222","229","2009","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1980","d44d0cdb-cadc-4a05-85dc-2fe4e3a30761","","Amatörfotografer;Amatörfotografi;Fotografi;Anders Olsson","Annan humaniora (605)","Kulturhistoria;Vardagsliv och berättande","","","","","","","","","","","","","","","","2019-08-28","2019-08-28","2019-08-28"
"1313305","Daun, Åke (Nordiska museet [877150]);Klein, Barbro (Nordiska museet [877150])","Andra generationen invandrare","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Alla vi svenskar","6","14","1996","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1706","bec78834-df3a-490d-af6a-d11b515ccbe0","","Andragenerationsinvandrare","Etnologi (60503)","Etnologi","","","","","","","","","","","","","","","","2019-05-03","2019-05-03","2019-05-03"
"1313386","Lithman, Yngve","Andra generationen och kulturell kreativitet","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Alla vi svenskar","139","153","1996","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1716","ac1b69f0-5244-4170-b6b6-a234559a5752","","Andragenerationsinvandrare;Sverige","Annan humaniora (605)","Sociala och kulturella identiteter","","","","","","","","","","","","","","","","2019-05-03","2019-05-03","2019-05-03"
"1247635","Klein, Ernst (Nordiska museet [877150])","Andra nordiska mötet för folklivsforskning i Helsingfors 14-16 augusti 1922.","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Kulturhistorisk tidskrift","155","160","1922","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-854","2bf2fdfa-97ef-484e-ba5f-5d0bdf6b6e11","","Etnologi - forskning","Etnologi (60503)","Nordiska museet","","","","","","","","","","","","","","","","2018-09-12","2018-09-12","2018-11-14"
"1298119","Zachrisson, Sune (Nordiska museet [877150])","Andreas Lindblom : 1889-1977","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","201","202","1977","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1465","5ea41760-6c0f-4ff4-90ee-db707c20274a","","Nordiska museets personal;Andreas Lindblom","Annan humaniora (605)","Nordiska museet","","","","","","","","","","","","","","","","2019-03-21","2019-03-21","2019-03-25"
"1366158","Kron, Ewa","Angelägna berättelser : gestaltningar på Skansen","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Skansen 125","280","293","2016","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-2135","b16c5e44-83d0-4b71-9035-4dd20f27e656","","Skansen;Museipedagogik","Annan humaniora (605)","Museologi;Skansen","","","","","","","","","","","","","","","","2019-10-28","2019-10-28","2019-10-28"
"1288659","Hazelius-Berg, Gunnel (Nordiska museet [877150])","""Anjala-smycke"" eller örhänge","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","75","80","1955","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1116","b3656b6e-96b3-4991-a2e6-339c027b5635","","Örhängen;Smycken","Konst (604)","Insamling och samlingsvård;Kulturhistoria;Materiell kultur","","","","","","","","","","","","","","","","2019-02-14","2019-02-14","2019-02-15"
"1270231","Lindblom, Andreas (Nordiska museet [877150])","Anna Regina Khevenhüller till Julita","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","61","72","1949","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1017","ff7009ef-07d0-410a-98e7-e2ee80267245","","Julita gård","Historia (60101)","Nordiska museet;Historia","","","","","","","","","","","","","","","","2018-12-12","2018-12-12","2018-12-13"
"1282684","Lindblom, Andreas (Nordiska museet [877150])","Anna Rudbeck in memoriam","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","237","238","1950","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1048","de76078a-7779-4701-874e-991391b051b9","","Anna Rudbeck;Personal i Nordiska museet","Annan humaniora (605)","Nordiska museet: Historia","","","","","","","","","","","","","","","","2019-01-25","2019-01-25","2019-01-25"
"1298865","Wintzell, Inga (Nordiska museet [877150])","Anna-Maja Nylén : 1912-1976","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","300","301","1976","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1472","b5a22ef5-17e9-40bd-aca2-b2783f40b993","","Nordiska museets personal;Anna-Maja Nylén","Annan humaniora (605)","Nordiska museet","","","","","","","","","","","","","","","","2019-03-25","2019-03-25","2019-03-25"
"1241149","Wistrand, Per Gustaf (Nordiska museet [877150])","Anteckningar af en småländsk prestfru","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Kulturhistorisk tidskrift","65","100","1911","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-641","35595fd1-8a0a-4bba-8204-d97ce423c69c","","Prästfruar","Etnologi (60503)","Vardagsliv och berättande","","","","","","","","","","","","","","","","2018-08-22","2018-08-22","2018-11-19"
"1233179","Wistrand, Per Gustaf (Nordiska museet [877150])","Anteckningar om handtverksämbeten : tunnbindarämbetet","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Meddelanden : 1893 och 1894","7","15","1895","","","Stockholm","Samfundet för Nordiska museets främjande","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-228","7226a755-0eba-454a-a9fb-45d6a9814546","","Skråväsen","Etnologi (60503)","Näringar och arbetsliv","","","","","","","","","","","","","","","","2018-07-16","2018-07-16","2018-11-22"
"1233185","Haraldsson, Mårten (Nordiska museet [877150])","Anteckningar om seder och bruk i Villstads socken, Västbo härad, i Småland under 1700-talet","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Meddelanden : 1893 och 1894","43","56","1893","","","Stockholm","Samfundet för Nordiska museets främjande","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-231","88477c76-6a15-44f9-b4d1-3d5cce042af8","","","Etnologi (60503)","Seder och bruk","","","","","","","","","","","","","","","","2018-07-16","2018-07-16","2018-11-22"
"1240037","Romdahl, Axel L (Nordiska museet [877150])","Anteckningar till tallrikens historia","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Kulturhistorisk tidskrift","60","63","1909","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-595","6a385bdd-18c9-495c-bd2d-49e92ef46d8e","","Tallrikar","Etnologi (60503)","Mat och dryck","","","","","","","","","","","","","","","","2018-08-20","2018-08-20","2018-11-19"
"1294840","NN, nn (Nordiska museet [877150])","Antikviteter till vardags","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","127","138","1967","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1346","","","Utställningar;Nordiska museet;Antikviteter","Annan humaniora (605)","Museologi;Nordiska museet: Historia","","","","","","","","","","","","","","","","2019-03-08","2019-03-08","2019-03-14"
"1233922","Bengtsson, Bengt (Nordiska museet [877150])","Apoteket på Skansen","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","187","208","1934","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-359","a63adba6-9c4c-438f-bfc4-b06439d18669","","Apotek;Skansen","Kulturstudier (60502)","Näringar och arbetsliv","","","","","","","","","","","","","","","","2018-07-20","2018-07-20","2018-11-06"
"1289666","Stavenow-Hidemark, Elisabet (Nordiska museet [877150])","Arbetarhem i Gävle : en undersökning och en utställning","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","179","190","1958","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1153","ffe7e77c-7606-4f35-af8d-a30d802eaa60","","Bostadsutställningar;Bostadsundersökningar;Gävle;Arbetarbostäder;1800-talet;1900-talet","Etnologi (60503)","Etnologi;Hem och bostad","","","","","","","","","","","","","","","","2019-02-18","2019-02-18","2019-02-25"
"1302428","Hellden, Arne (Nordiska museet [877150])","Arbetet och lyckan : kulturarvet och arbetets värde","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","7","22","1984","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1544","e2f59610-2db0-426f-bef4-6d7327ccaa4d","","Arbetsliv;Hantverk;Kulturarv","Annan humaniora (605)","Näringar och arbetsliv","","","","","","","","","","","","","","","","2019-04-04","2019-04-04","2019-04-09"
"1287070","Rehnberg, Mats (Nordiska museet [877150])","Arbetsvandringar från Småland","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","147","162","1953","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1089","9e42956f-ea65-4b96-b017-eab772d5d31a","","Arbetsvandringar","Arkeologi (60103)","Historia","","","","","","","","","","","","","","","","2019-02-08","2019-02-08","2019-02-11"
"1232390","Nyman, John (Nordiska museet [877150])","Arbetsåret på landsbygden","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","51","64","1973","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-181","ade86978-ef68-4601-b32d-54d489f7c4ac","","Arbete;Landsbygd","Etnologi (60503)","Näringar och arbetsliv","","","","","","","","","","","","","","","","2018-07-11","2018-07-11","2019-03-19"
"1247638","Upmark, Gustaf (Nordiska museet [877150])","Arboga Guldsmedsämbete. Ett bidrag till kännedomen om svensk hantverksorganisation.","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Kulturhistorisk tidskrift","74","83","1921","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-856","a03b9353-fdc3-467e-98a7-22f93dafce6b","","Guldsmeder;Skråväsen","Etnologi (60503)","Näringar och arbetsliv","","","","","","","","","","","","","","","","2018-09-12","2018-09-12","2018-11-14"
"1234154","Malmgren, Curt (Nordiska museet [877150])","Arbogasilver : Några notiser från utställningen 1935","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","75","86","1936","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-404","b821baa2-53e4-40f2-9eef-17c51df1a417","","Silversmide","Etnologi (60503)","Näringar och arbetsliv","","","","","","","","","","","","","","","","2018-07-23","2018-07-23","2018-11-05"
